lat;long;nombre_estacion;id_estacion;capacidad;direcci√≥n_completa;direccion_nombre;direccion_altura;direccion_interseccion;barrio
-34.624.802;-5.843.768.299.999.990;392 - Calasanz;295;20.0;San Jose De Calasanz y Valle;San Jose De Calasanz;;Valle;Caballito
-34.632.961;-58.462.547;293 - PEDERNERA;296;15.0;Pedernera 381;Pedernera;381.0;;Flores
-34.640.978.000.000.000;-58.466.118;320 - QUIRNO;297;16.0;Quirno 781;Quirno;781.0;;Flores
-34.634.443;-58.463.437;271 - Plazoleta 11 de Noviembre;298;16.0;Varela 401;Varela;401.0;;Flores
-34.631.485.999.999.900;-5.846.629.300.000.000;221 - CULPINA;299;20.0;Culpina 121;Culpina;121.0;;Flores
-34.651.391.700.000.000;-5.843.272.879.999.990;321 - PERITO MORENO;300;20.0;Fernandez De La Cruz, F., Gral. Av. y Erezcano;Fernandez De La Cruz, F., Gral. Av.;;Erezcano;Nueva Pompeya
-34.644.841;-58.431.785;309 - HOMERO MANZI;301;20.0;Barco Centenera Del 2292;Barco Centenera Del;2292.0;;Nueva Pompeya
-34.651.955;-58.415.423;340 - PLAZA NUEVA POMPEYA;302;16.0;Traful 3800;Traful;3800.0;;Nueva Pompeya
-345.577.145;-58.462.687.100.000.000;238 - RIVERA;303;20.0;Rivera, Pedro I., Dr. 2583;Rivera, Pedro I., Dr.;2583.0;;Belgrano
-34.589.409;-5.848.420.400.000.000;395 - Agronomia II;304;16.0;De Los Incas Av. y De Los Constituyentes Av.;De Los Incas Av.;;De Los Constituyentes Av.;Agronomia
-34.612.684;-58.444.869.999.999.900;398 - Rojas;305;16.0;Rojas 731;Rojas;731.0;;Caballito
-34.608.465;-5.845.585;380 - Paysandu y Galicia;306;20.0;Galicia 1220;Galicia;1220.0;;Caballito
-346.451.626;-58.365.323;358 - Plaza Almirante Brown;307;18.0;Irala y California;Irala;;California;Boca
-34.567.639;-58.436.847;251 - Solar de la Abad√≠a;308;20.0;Maure 1819;Maure;1819.0;;Palermo
-346.350.001;-58.367.059;298 - IRALA;309;20.0;Irala 695;Irala;695.0;;Barracas
-3.463.819;-58.377.469.999.999.900;356 - Plaza Sergio Karakachoff;310;16.0;Brandsen y Herrera;Brandsen;;Herrera;Barracas
-345.972.098;-5.847.421.143;213 - Hospital Alvear;311;20.0;Warnes Av. 2626;Warnes Av.;2626.0;;Flores
-34.629.028.000.000.000;-584.769.111;311 - CONCORDIA;312;20.0;Bogota 3396;Bogota;3396.0;;Floresta
-34.565.003.000.000.000;-584.449.536;291 - UNIVERSIDAD DE BELGRANO;313;20.0;Zabala 1920;Zabala;1920.0;;Palermo
-3.461.047;-584.602.399;212 - SOR JUANA;314;16.0;Galicia 1630;Galicia;1630.0;;Caballito
-34.605.638;-5.845.336.089.999.990;205 - SAN MARTIN;316;16.0;Cucha Cucha 1471;Cucha Cucha;1471.0;;Villa Crespo
-345.797.368;-58.457.814.600.000.000;220 - GIRIBONE;317;20.0;Giribone 1101;Giribone;1101.0;;Chacarita
-34.603.935;-58.457.319.999.999.900;285 - ESPINOSA;318;20.0;Espinosa 1785;Espinosa;1785.0;;Villa Crespo
-346.036;-584.036;329 - PASO Y LAVALLE;319;20.0;Paso 486;Paso;486.0;;Balvanera
-34.584.058;-58.440.073;364 - Carranza Y Gorriti;320;20.0;Carranza, Angel Justiniano 1501;Carranza, Angel Justiniano;1501.0;;Palermo
-34.561.851.000.000.000;-58.444.754;246 - EDUARDO OLIVERA;321;16.0;Campos, Luis M. Av. 1631;Campos, Luis M. Av.;1631.0;;Belgrano
-345.513.269;-584.541.858;289 - MONTA√ëESES;322;20.0;Monta√±eses 2786;Monta√±eses;2786.0;;Belgrano
-34.565.275;-58.459.401;240 - ECHEVERRIA;323;24.0;Vidal 1981;Vidal;1981.0;;Belgrano
-34.578.933;-584.840.556;280 - JURAMENTO;324;16.0;Juramento 5209;Juramento;5209.0;;Villa Urquiza
-34.645.252;-58.416.546.999.999.900;342 - SAENZ;325;16.0;Del Tigre 3935;Del Tigre;3935.0;;Nueva Pompeya
-346.411.734;-5.842.022.660.000.000;343 - POMAR;326;20.0;Pomar, Gregorio Tte. Cnel. 4152;Pomar, Gregorio Tte. Cnel.;4152.0;;Nueva Pompeya
-34.654.385.999.999.900;-5.841.992.800.000.000;341 - TILCARA;327;16.0;Tilcara 3318;Tilcara;3318.0;;Nueva Pompeya
-345.931.053;-584.351.681;100 - Plaza Gurruchaga;329;20.0;Gurruchaga 1078;Gurruchaga;1078.0;;Villa Crespo
-346.008;-58.47;148 - Paternal;330;16.0;12 De Octubre 1718; De Octubre;1718.0;;Paternal
-34.602.133;-5.849.089.100.000.000;202 - Nogoya Y Argerich;332;16.0;Argerich 3018;Argerich;3018.0;;Villa Del Parque
-34.600.433.200.000.000;-585.036.238;203 - Beiro;333;20.0;Beiro, Francisco Av. 3572;Beiro, Francisco Av.;3572.0;;Villa Del Parque
-34.615.852.000.000.000;-58.470.907;206 - Galicia;335;20.0;Galicia 2502;Galicia;2502.0;;Villa General Mitre
-34.599.917.299.999.900;-58.511.415.899.999.900;207 - PLAZA ARENALES;336;28.0;Nueva York y Chivilcoy Av.;Nueva York;;Chivilcoy Av.;Devoto
-345.985;-584.613;208 - Segui;337;16.0;Segui, F. J., Alte. 2419;Segui, F. J., Alte.;2419.0;;Paternal
-34.602.931;-58.479.420.999.999.900;210 - Terrero;338;16.0;Terrero 3211;Terrero;3211.0;;Villa Del Parque
-3.461.938;-5.845.471;211 - ARANGUREN Y SEGUI;339;16.0;Aranguren, Juan F., Dr. 1608;Aranguren, Juan F., Dr.;1608.0;;Caballito
-34.626.242;-5.846.732.900.000.000;214 - Flores;340;12.0;Bogota 2620;Bogota;2620.0;;Flores
-346.142.336;-584.813.858;216 - Margari√±os Cervantes y Argerich;341;16.0;Magari√±os Cervantes, A. 3011;Magari√±os Cervantes, A.;3011.0;;Villa Santa Rita
-34.616.813;-58.484.297;218 - Campana;342;20.0;Campana 1523;Campana;1523.0;;Villa Santa Rita
-34.635.727.200.000.000;-584.411.639;219 - Parque Chacabuco II;343;20.0;Asamblea Av. y Faraday;Asamblea Av.;;Faraday;Parque Chacabuco
-34.594.776.200.000.000;-584.750.615;226 - Parque La Paternal;345;20.0;Zabala, Joaquin, Dr. y Chorroarin Av.;Zabala, Joaquin, Dr.;;Chorroarin Av.;Caballito
-345.834.356;-584.065.391;230 - Parque Las Heras II;347;20.0;Pacheco De Melo, Jose Andres 3120;Pacheco De Melo, Jose Andres;3120.0;;Palermo
-34.610.482;-58.474.368.999.999.900;231 - Margari√±os Cervantes;348;16.0;Magari√±os Cervantes, A. 2465;Magari√±os Cervantes, A.;2465.0;;Villa General Mitre
-34.570.894;-5.846.688.399.999.990;232 - Sucre y Martinez;349;20.0;Sucre, Antonio Jose De, Mcal. 3517;Sucre, Antonio Jose De, Mcal.;3517.0;;Belgrano
-34.567.996;-58.485.145.499.999.900;234 - Valdenegro;350;20.0;Valdenegro 2831;Valdenegro;2831.0;;Villa Urquiza
-345.717.033;-584.520.772;235 - Colegiales;351;16.0;Zabala 2825;Zabala;2825.0;;Colegiales
-345.807.104;-584.248.291;236 - Guemes;352;28.0;Guemes 4718;Guemes;4718.0;;Palermo
-345.986.779;-58.364.725.899.999.900;237 - Madero Office;353;20.0;Sanchez De Thompson, Mariquita 367;Sanchez De Thompson, Mariquita;367.0;;Puerto Madero
-34.613.457.000.000.000;-584.401.581;241 - Sanatorio Mendez;354;20.0;Hidalgo 512;Hidalgo;512.0;;Caballito
-34.567.504.799.999.900;-584.465.088;242 - Plazoleta Rafael del Riego;355;16.0;O'Higgins 1327;O'Higgins;1327.0;;Palermo
-34.547.695.000.000.000;-584.584.684;245 - Arribe√±os;356;16.0;Arribe√±os 3229;Arribe√±os;3229.0;;Nu√±ez
-3.456.154.650.000.000;-584.655.255;249 - Balb√≠n;358;12.0;Conesa 2519;Conesa;2519.0;;Belgrano
-34.555.654;-584.504.687;250 - Fleni;359;20.0;Monta√±eses 2292;Monta√±eses;2292.0;;Belgrano
-34.569.146.999.999.900;-58.453.731.999.999.900;258 - Plaza J.J. Paso;361;20.0;Moldes 1399;Moldes;1399.0;;Colegiales
-34.566.746;-58.479.108;262 - Holmberg;362;16.0;Holmberg 2725;Holmberg;2725.0;;Villa Urquiza
-34.642.052;-5.846.205;354 - Plaza Tupac Amaru;363;28.0;Primera Junta 3101;Primera Junta;3101.0;;Flores
-34.568.721.999.999.900;-5.843.438.100.000.000;381 - Matienzo Y Arce;364;24.0;Matienzo, Benjamin, Teniente 1798;Matienzo, Benjamin, Teniente;1798.0;;Palermo
-34.635.402;-58.482.602;360 - Plaza Ramon Falcon;366;20.0;Falcon, Ramon L.,Cnel. 3991;Falcon, Ramon L.,Cnel.;3991.0;;Velez Sarfield
-346.163.487;-58.477.241.799.999.900;287 - Belaustegui;367;16.0;Belaustegui, Luis, Dr. 2874;Belaustegui, Luis, Dr.;2874.0;;Villa Santa Rita
-34.592.244;-58.491.797;304 - Navarro;369;20.0;Navarro 2625;Navarro;2625.0;;Agronomia
-34.590.964;-58.500.336;305 - Plaza Martin Rodriguez;370;20.0;Pareja 3016;Pareja;3016.0;;Agronomia
-3.463.281;-58.455.057.999.999.900;269 - Plaza De La Misericordia;371;16.0;Lautaro 493;Lautaro;493.0;;Flores
-34.636.406;-58.470.136;322 - MART√ç Y DIRECTORIO;372;12.0;Marti, Jose 404;Marti, Jose;404.0;;Flores
-34.582.488.899.999.900;-58.481.028.599.999.900;265 - Plaza Exodo Juje√±o;373;16.0;Liverpool 2812;Liverpool;2812.0;;Parque Chas
-34.645.764;-584.573.968;367 - Mariano Castex;374;16.0;Alvarez, Crisostomo 2873;Alvarez, Crisostomo;2873.0;;Flores
-346.050.537;-584.847.864;301 - Arregui Y Terrada;375;16.0;Arregui 2793;Arregui;2793.0;;Villa Del Parque
-34.626.698;-58.487.135.200.000.000;324 - Las Victorias;376;20.0;Vallese, Felipe 4083;Vallese, Felipe;4083.0;;Floresta
-34.607.333.000.000.000;-58.422.987;327 - ACU√ëA DE FIGUEROA Y POTOSI;377;16.0;Acu√±a De Figueroa, Francisco 296;Acu√±a De Figueroa, Francisco;296.0;;Almagro
-34.623.123;-58.468.287;215 - HOSPITAL ALVAREZ;378;20.0;Estado Plurinacional De Bolivia 683;Estado Plurinacional De Bolivia;683.0;;Flores
-34.560.162;-58.428.163;390 - De Los Ombues;379;20.0;De Los Ombues Av. y Bello, Andres;De Los Ombues Av.;;Bello, Andres;Palermo
-3.460.603.820.000.000;-5.846.481;319 - Cervantes y Trelles;380;20.0;Cervantes 1683;Cervantes;1683.0;;Villa General Mitre
-346.153;-584.665.179;274 - Plaza Nuestra Se√±ora de la Asuncion;381;16.0;Gavilan 1300;Gavilan;1300.0;;Villa General Mitre
-34.605.452;-58.477.426;204 - Biarritz;382;16.0;Biarritz 2403;Biarritz;2403.0;;Villa Del Parque
-34.571.621;-58.489.026;263 - Plaza Echeverria;383;20.0;Nahuel Huapi y Triunvirato Av.;Nahuel Huapi;;Triunvirato Av.;Villa Urquiza
-34.579.734;-5.846.185.229.999.990;267 - Plaza 25 De Agosto;384;16.0;14 De Julio 1194; De Julio;1194.0;;Villa Ortuzar
-346.061.187;-5.849.341.920.000.000;268 - Plaza Arist√≥bulo Del Valle;385;16.0;Campana y Sastre, Marcos;Campana;;Sastre, Marcos;Villa Del Parque
-345.656.428;-58.475.512;277 - Coghlan;386;8.0;Estomba 2647;Estomba;2647.0;;Coghlan
-346.019.716;-58.465.530.099.999.900;278 - Donato Alvarez;387;16.0;Garcia, Juan Agustin 1540;Garcia, Juan Agustin;1540.0;;Paternal
-34.580.927;-5.848.455;279 - Andonaegui;388;20.0;Andonaegui 1902;Andonaegui;1902.0;;Villa Urquiza
-3.462.795;-5.844.024;286 - OEA;389;20.0;Barco Centenera Del 741;Barco Centenera Del;741.0;;Caballito
-34.547.758;-58.459.881;288- 11 de septiembre;390;28.0;11 De Septiembre De 1888 3314; De Septiembre De;3314.0;;Nu√±ez
-345.508.944;-584.719.176;295 - Larralde;391;20.0;Vidal 3607;Vidal;3607.0;;Saavedra
-34.554.754;-5.848.541.899.999.990;297 - TRONADOR Y GARC√çA DEL R√çO;392;16.0;Tronador y Garcia Del Rio;Tronador;;Garcia Del Rio;Coghlan
-34.590.848;-58.468.534.999.999.900;300 - Jose Artigas;393;12.0;Balboa 524;Balboa;524.0;;Paternal
-34.649.578.000.000.000;-58.462.646;302 - Plaza Jose Marti;394;20.0;Acosta, Mariano 1801;Acosta, Mariano;1801.0;;Flores
-345.968.038;-5.845.356.870.000.000;303 - Huaura;395;16.0;Huaura 1474;Huaura;1474.0;;Villa Crespo
-34.601.852;-58.448.011;306 - Tres Arroyos Y Olaya;396;20.0;Tres Arroyos 327;Tres Arroyos;327.0;;Villa Crespo
-345.979.984;-584.856.262;308 - Artigas Y Melincue;397;12.0;Artigas, Jose Gervasio, Gral. y Melincue;Artigas, Jose Gervasio, Gral.;;Melincue;Villa Del Parque
-3.457.618.170.000.000;-5.845.465.079.999.990;310 - Gregoria Perez;398;16.0;Perez, Gregoria 3314;Perez, Gregoria;3314.0;;Colegiales
-346.340.414;-58.446.273;312 - Parque Chacabuco  I;399;20.0;Peron, Eva Av. y Achaval;Peron, Eva Av.;;Achaval;Parque Chacabuco
-34.579.751;-58.471.003;313 - De Los Incas;400;16.0;Donado 1378;Donado;1378.0;;Villa Ortuzar
-3.463.476.179.999.990;-584.795.922;314 - Ram√≥n Falcon;401;20.0;Falcon, Ramon L.,Cnel. 3792;Falcon, Ramon L.,Cnel.;3792.0;;Floresta
-34.597.612.100.000.000;-584.985.424;315 - BEIRO Y SAN MART√çN;402;16.0;Beiro, Francisco Av. 3209;Beiro, Francisco Av.;3209.0;;Devoto
-34.543.949;-584.408.983;317 - Cero M√°s Infinito;404;20.0;;;;;Belgrano
-345.767.497;-58.468.977.100.000.000;318 - Plaza Y Carbajal;405;20.0;Plaza 1602;Plaza;1602.0;;Villa Ortuzar
-346.009.283;-583.642.613;326 - Emma De La Barra;406;16.0;De La Barra,  Emma 301;De La Barra,  Emma;301.0;;Puerto Madero
-346.429.977;-584.815.713;330 - Parque Avellaneda;407;28.0;Directorio Av. y Fernandez;Directorio Av.;;Fernandez;Parque Avellaneda
-346.600.076;-584.683.699;337 - UTN;408;20.0;Mozart 2400;Mozart;2400.0;;Villa Lugano
-34.654.801;-58.412.878.000.000.000;339 - AMANCIO ALCORTA;409;24.0;Alcorta, Amancio Av. 3805;Alcorta, Amancio Av.;3805.0;;Nueva Pompeya
-3.463.858.079.999.990;-58.476.985.600.000.000;368 - Ensenada;411;12.0;Ensenada 413;Ensenada;413.0;;Floresta
-346.626.285;-584.411.434;372 - Villa Soldati;412;16.0;Triana, Rodrigo De 3102;Triana, Rodrigo De;3102.0;;Villa Soldati
-34.654.573.600.000.000;-58.379.346;382 - CMD;413;16.0;Algarrobo 1016;Algarrobo;1016.0;;Barracas
-34.607.731;-58.438.304.099.999.900;385 - Franklin;414;20.0;Franklin 440;Franklin;440.0;;Caballito
-346.203.961;-5.846.371.460.000.000;386 - Gavilan Y Vallese;415;20.0;Gavilan 786;Gavilan;786.0;;Flores
-345.532.664;-58.469.072;257 - Plaza Francisco Ramirez;416;28.0;Pedraza, Manuela 2700;Pedraza, Manuela;2700.0;;Nu√±ez
-346.053.524;-583.880.338;328 - Centro Cultural San Martin;417;20.0;Sarmiento 1501;Sarmiento;1501.0;;San Nicolas
-34.580.773;-58.444.613.600.000.000;345 - Plaza Mafalda;418;20.0;Arenal, Concepcion y Martinez, Enrique, Gral.;Arenal, Concepcion;;Martinez, Enrique, Gral.;Colegiales
-34.547.673;-58.467.851;359 - Plaza Balcarce;419;20.0;Jaramillo 2324;Jaramillo;2324.0;;Nu√±ez
-345.440.696;-584.390.434;375 - Ciudad Universitaria I;420;20.0;;;;;Belgrano
-345.419.013;-584.438.699;376 - Ciudad Universitaria II;421;12.0;;;;;Belgrano
-3.454.098.920.000.000;-584.442.786;377 - Ciudad Uuniversitaria III;422;28.0;;;;;Belgrano
-34.638.584;-58.399.682.999.999.900;387 - Luna;424;16.0;Luna 201;Luna;201.0;;Parque Patricios
-34.644.076.299.999.900;-58.422.091;394 - Av. La Plata;425;16.0;Arbeletche, Anibal P. 804;Arbeletche, Anibal P.;804.0;;Nueva Pompeya
-34.555.582;-58.457.962;396 - PLAZA ALBERTI;426;20.0;Arcos y Roosevelt Franklin D.;Arcos;;Roosevelt Franklin D.;Belgrano
-3.464.072;-58.367.461;397 - PLAZA MATHEU;427;24.0;Hernandarias y Araoz De Lamadrid, Gregorio, Gral.;Hernandarias;;Araoz De Lamadrid, Gregorio, Gral.;Boca
-34.587.458.000.000.000;-584.739.506;225 - HOSPITAL TORNU;428;20.0;Avalos 1052;Avalos;1052.0;;Parque Chas
-346.115.826;-58.484.692;201 - JUAN AGUSTIN GARCIA;429;20.0;Garcia, Juan Agustin 3074;Garcia, Juan Agustin;3074.0;;Villa Del Parque
-34.607.981;-58.377.885.600.000.000;037 - Claudia Pia Braudacco;430;12.0;Esmeralda y Rivadavia Av.;Esmeralda;;Rivadavia Av.;San Nicolas
-345.430.055;-584.361.167;362 - PARQUE DE LA MEMORIA;431;20.0;Obligado Rafael, Av.Costanera 7201;Obligado Rafael, Av.Costanera;7201.0;;Belgrano
-34.620.249;-5.843.587.700.000.000;187 - Jose Maria Moreno;432;20.0;Moreno, Jose Maria Av. 141;Moreno, Jose Maria Av.;141.0;;Caballito
-34.637.491;-58.373.638;273 - Plazoleta Colombia;433;20.0;Brandsen 1619;Brandsen;1619.0;;Barracas
-345.457.258;-584.650.865;247 - Plaza Lucio Demare;434;12.0;O'Higgins 3750;O'Higgins;3750.0;;Nu√±ez
-34.544.597.100.000.000;-584.595.541;227 -Club Ciudad de Buenos Aires;435;16.0;Sanchez, Miguel B. Av. y Del Libertador Av.;Sanchez, Miguel B. Av.;;Del Libertador Av.;Nu√±ez
-345.782.972;-584.450.299;253 - Plaza Colegiales;436;28.0;Tte. BenjamÌn Matienzo 3090-3060;Plaza Colegiales;;;Palermo
-3.461.001.199;-583.749.195;016 - Legislatura;441;20.0;Peru 169;Peru;169.0;Roca, Julio A., Presidente Diagonal Sur Av.;Monserrat
-34.605.619.399.999.900;-58.371.607;048 - Per√≥n;442;15.0;Peron, Juan Domingo, Tte. General 338;Peron, Juan Domingo, Tte. General;338.0;;San Nicolas
-346.157.533;-583.706.184;081 -Balcarce;443;18.0;Balcarce y Chile Av.;Balcarce;;Chile Av.;Monserrat
-3.460.890.870.000.000;-583.711.541;061-Ministerio de Economia;444;24.0;Balcarce y Yrigoyen, Hipolito Av.;Balcarce;;Yrigoyen, Hipolito Av.;Monserrat
393 - Barrio 31;-583.787.309;393 - Barrio 31;448;16.0;Carlos H. Perette 11;Carlos H. Perette;11.0;Perette, Carlos H.;Retiro
-346.074.084;-583.950.548;076 - Ayacucho;76;20.0;Ayacucho y Peron, Juan Domingo, Tte. General;Ayacucho;;Peron, Juan Domingo, Tte. General;Balvanera
-34.598.549;-5.839.735.400.000.000;43 - Plaza Houssay;328;16.0;Cordoba Av. y Uriburu Jose E., Pres.;Cordoba Av.;;Uriburu Jose E., Pres.;Recoleta
-346.289.374;-584.636.606;San Jose de Flores;449;24.0;Avenida Rivadavia y Fray Cayetano;Avenida Rivadavia;;Fray Cayetano;Flores
-34.613.449;-58.423.397;197 - Quintino Bocayuva;197;20;Quintino Bocayuva y Don Bosco;Quintino Bocayuva;;Don Bosco;Almagro
